"Groups";"Model";"AUC of ROC";"ALIFT";"ACC";"clustering"
"1";"2";"ksvm";"0.909749489806509";"0.863489224137931";"90.9148295620084";"KmeansPartLink"
"2";"3";"ksvm";"0.90366338622237";"0.858122844827586";"91.0216567932408";"KmeansPartLink"
"3";"4";"ksvm";"0.90281381263374";"0.857379310344828";"91.1260561328542";"KmeansPartLink"
"4";"5";"ksvm";"0.902631311727987";"0.857176724137931";"91.014373118384";"KmeansPartLink"
"5";"6";"ksvm";"0.901659426149079";"0.856323275862068";"91.1357676993299";"KmeansPartLink"
"6";"7";"ksvm";"0.903205698080559";"0.857758620689655";"91.0313683597164";"KmeansPartLink"
"7";"8";"ksvm";"0.903222150228514";"0.857775862068966";"91.0774983004759";"KmeansPartLink"
"8";"9";"ksvm";"0.900891918704925";"0.855721982758621";"91.1406234825677";"KmeansPartLink"
"9";"10";"ksvm";"0.90144112560525";"0.856176724137931";"91.0969214334272";"KmeansPartLink"
"10";"2";"ctree";"0.939419485074894";"0.88945474137931";"91.3008643294163";"KmeansPartLink"
"11";"3";"ctree";"0.9433338373155";"0.893002155172413";"91.548509274546";"KmeansPartLink"
"12";"4";"ctree";"0.941190417278364";"0.891237068965517";"91.4101194522677";"KmeansPartLink"
"13";"5";"ctree";"0.941689975841878";"0.891752155172414";"91.3785568612217";"KmeansPartLink"
"14";"6";"ctree";"0.944063041918422";"0.893922413793104";"91.4246868019812";"KmeansPartLink"
"15";"7";"ctree";"0.942273404978998";"0.892278017241379";"91.3542779450325";"KmeansPartLink"
"16";"8";"ctree";"0.944128420041853";"0.893913793103449";"91.5169466835";"KmeansPartLink"
"17";"9";"ctree";"0.943610849619584";"0.893487068965519";"91.4562493930271";"KmeansPartLink"
"18";"10";"ctree";"0.94355577915014";"0.893424568965517";"91.5290861415946";"KmeansPartLink"
"19";"2";"mlp";"0.928187901455997";"0.879887931034483";"90.4268233466058";"KmeansPartLink"
"20";"3";"mlp";"0.936264175382964";"0.887077586206897";"90.68660774983";"KmeansPartLink"
"21";"4";"mlp";"0.94015677422794";"0.89048275862069";"91.1066329999029";"KmeansPartLink"
"22";"5";"mlp";"0.940807760366151";"0.891116379310345";"91.0750704088569";"KmeansPartLink"
"23";"6";"mlp";"0.938842866773218";"0.889351293103448";"91.0168010100029";"KmeansPartLink"
"24";"7";"mlp";"0.939314038010477";"0.889747844827587";"91.0580751675245";"KmeansPartLink"
"25";"8";"mlp";"0.940508932749752";"0.89082327586207";"91.1818976400893";"KmeansPartLink"
"26";"9";"mlp";"0.941348340208248";"0.891575431034483";"91.2450228221812";"KmeansPartLink"
"27";"10";"mlp";"0.941025680564624";"0.891314655172414";"91.1381955909488";"KmeansPartLink"
"28";"2";"lr";"0.932899177463364";"0.884112068965517";"90.9998057686705";"KmeansPartLink"
"29";"3";"lr";"0.933096833215082";"0.884217672413793";"90.9463921530543";"KmeansPartLink"
"30";"4";"lr";"0.932542961924423";"0.88379525862069";"91.0240846848597";"KmeansPartLink"
"31";"5";"lr";"0.932302990540546";"0.883521551724138";"91.0459357094299";"KmeansPartLink"
"32";"6";"lr";"0.933780216522061";"0.884866379310345";"91.0702146256191";"KmeansPartLink"
"33";"7";"lr";"0.931856742243549";"0.883211206896552";"90.9730989608624";"KmeansPartLink"
"34";"8";"lr";"0.933307591716892";"0.884443965517242";"91.0289404680975";"KmeansPartLink"
"35";"9";"lr";"0.932014311363799";"0.883338362068966";"91.0605030591434";"KmeansPartLink"
"36";"10";"lr";"0.931948089994075";"0.883243534482759";"90.9463921530543";"KmeansPartLink"
