"Groups";"Model";"AUC of ROC";"ALIFT";"ACC";"clustering"
"1";"2";"ksvm";"0.909671858076106";"0.86345474137931";"90.924541128484";"OPTICS"
"2";"3";"ksvm";"0.904997354683307";"0.859353448275862";"91.0580751675245";"OPTICS"
"3";"4";"ksvm";"0.902665041579708";"0.857200431034483";"91.0920656501894";"OPTICS"
"4";"5";"ksvm";"0.901488370984968";"0.856144396551724";"91.0216567932408";"OPTICS"
"5";"6";"ksvm";"0.901581222426436";"0.856211206896552";"91.0896377585704";"OPTICS"
"6";"7";"ksvm";"0.902647227264665";"0.857241379310345";"91.072642517238";"OPTICS"
"7";"8";"ksvm";"0.903147732268948";"0.857661637931035";"91.1187724579975";"OPTICS"
"8";"9";"ksvm";"0.900695176961426";"0.855506465517242";"91.1260561328542";"OPTICS"
"9";"10";"ksvm";"0.901072001911515";"0.855810344827586";"91.0920656501894";"OPTICS"
"10";"2";"ctree";"0.93936765491201";"0.889422413793104";"91.2935806545596";"OPTICS"
"11";"3";"ctree";"0.943406671976956";"0.893056034482758";"91.548509274546";"OPTICS"
"12";"4";"ctree";"0.941243016977201";"0.891273706896552";"91.4101194522677";"OPTICS"
"13";"5";"ctree";"0.941730333727399";"0.891778017241379";"91.3785568612217";"OPTICS"
"14";"6";"ctree";"0.943763657051851";"0.893665948275863";"91.4149752355055";"OPTICS"
"15";"7";"ctree";"0.942088648536832";"0.892101293103448";"91.3542779450325";"OPTICS"
"16";"8";"ctree";"0.944160248166794";"0.893943965517242";"91.5169466835";"OPTICS"
"17";"9";"ctree";"0.943595122781378";"0.893454741379311";"91.4562493930271";"OPTICS"
"18";"10";"ctree";"0.943138360441441";"0.89301724137931";"91.5218024667379";"OPTICS"
"19";"2";"mlp";"0.931055454824642";"0.882366379310345";"90.6040594347868";"OPTICS"
"20";"3";"mlp";"0.937751134077812";"0.888336206896552";"91.043507817811";"OPTICS"
"21";"4";"mlp";"0.938546663244934";"0.889060344827587";"91.0119452267651";"OPTICS"
"22";"5";"mlp";"0.94091015582248";"0.891174568965517";"91.220743905992";"OPTICS"
"23";"6";"mlp";"0.93969581334702";"0.890118534482758";"91.0750704088569";"OPTICS"
"24";"7";"mlp";"0.938837556680303";"0.889344827586207";"91.0556472759056";"OPTICS"
"25";"8";"mlp";"0.939637254904273";"0.89004525862069";"90.9706710692435";"OPTICS"
"26";"9";"mlp";"0.941864339126062";"0.892049568965517";"91.1649023987569";"OPTICS"
"27";"10";"mlp";"0.941192932275175";"0.891413793103449";"91.1551908322812";"OPTICS"
"28";"2";"lr";"0.933342318132414";"0.884497844827586";"90.9730989608624";"OPTICS"
"29";"3";"lr";"0.933339304853702";"0.884461206896552";"90.9730989608624";"OPTICS"
"30";"4";"lr";"0.933418611283036";"0.884523706896552";"91.0046615519083";"OPTICS"
"31";"5";"lr";"0.932734484975828";"0.884002155172414";"91.014373118384";"OPTICS"
"32";"6";"lr";"0.932598645663898";"0.883831896551725";"91.0168010100029";"OPTICS"
"33";"7";"lr";"0.932157097138199";"0.883411637931035";"90.9900942021948";"OPTICS"
"34";"8";"lr";"0.932742693359323";"0.883933189655173";"91.0168010100029";"OPTICS"
"35";"9";"lr";"0.932631319983546";"0.883754310344828";"91.0507914926678";"OPTICS"
"36";"10";"lr";"0.932233921003272";"0.883508620689656";"90.9221132368651";"OPTICS"
