"Groups";"Model";"AUC of ROC";"ALIFT";"ACC"
"1";"2";"ksvm";"0.778046032512474";"0.772894736842106";"98.2"
"2";"3";"ksvm";"0.615698267074414";"0.612894736842105";"97.8"
"3";"4";"ksvm";"0.710284886528247";"0.705000000000001";"98"
"4";"5";"ksvm";"0.650571382584903";"0.647105263157896";"98.1"
"5";"6";"ksvm";"0.831106819035356";"0.824473684210525";"98.1"
"6";"7";"ksvm";"0.712913782928269";"0.708157894736843";"98.2"
"7";"8";"ksvm";"0.762272654112345";"0.757105263157895";"98"
"8";"9";"ksvm";"0.720907774022212";"0.716578947368421";"98.2"
"9";"10";"ksvm";"0.722088094854874";"0.718157894736843";"97.9"
"10";"2";"ctree";"0.920998980632008";"0.921315789473684";"98.3"
"11";"3";"ctree";"0.86493374108053";"0.868157894736842";"98.4"
"12";"4";"ctree";"0.868555179998927";"0.870789473684209";"98.4"
"13";"5";"ctree";"0.865014217500939";"0.86078947368421";"98.4"
"14";"6";"ctree";"0.921374537260583";"0.919210526315788";"98.3"
"15";"7";"ctree";"0.880331562852084";"0.877105263157894";"97.9"
"16";"8";"ctree";"0.883872525350072";"0.880263157894736";"98.4"
"17";"9";"ctree";"0.889720478566447";"0.886052631578946";"98.4"
"18";"10";"ctree";"0.892134771178711";"0.891842105263157";"98.3"
"19";"2";"mlp";"0.406110842856376";"0.42921052631579";"98.1"
"20";"3";"mlp";"0.482456140350877";"0.496052631578947";"98.1"
"21";"4";"mlp";"0.359166264284565";"0.375";"98.1"
"22";"5";"mlp";"0.392698106121573";"0.404473684210526";"98.1"
"23";"6";"mlp";"0.479344385428403";"0.486578947368421";"98.1"
"24";"7";"mlp";"0.355088792317184";"0.363947368421053";"98.1"
"25";"8";"mlp";"0.275336659692044";"0.283421052631579";"98.1"
"26";"9";"mlp";"0.476608187134503";"0.481315789473684";"98.1"
"27";"10";"mlp";"0.271983475508343";"0.280263157894737";"98.1"
"28";"2";"lr";"0.647057245560384";"0.652894736842106";"97.2"
"29";"3";"lr";"0.724824293148774";"0.715";"97.7"
"30";"4";"lr";"0.629325607596974";"0.639736842105264";"97.3"
"31";"5";"lr";"0.73531305327539";"0.728157894736842";"97.4"
"32";"6";"lr";"0.690702290895434";"0.667631578947369";"97.8"
"33";"7";"lr";"0.705214872042492";"0.699210526315789";"97.5"
"34";"8";"lr";"0.600139492462042";"0.630263157894737";"97.6"
"35";"9";"lr";"0.642470089597081";"0.633947368421053";"97.1"
"36";"10";"lr";"0.778206985353291";"0.786052631578947";"97.4"
