"Itteration";"Model";"AUC";"ALIFT";"ACC";"Lower";"Upper";"Window-size";"Clustering";"Amount of Clusters";"Silhouette";"% Ommited"
"1";"1";"lr";"0.959312623475714";"0.949722222222222";"97.8404319136173";"1";"5001";"5000";"DBSCAN";"3";"";""
"2";"2";"lr";"0.937570028011204";"0.928142857142857";"97.3605278944211";"501";"5501";"5000";"DBSCAN";"3";"";""
"3";"3";"lr";"0.932373626373626";"0.922380952380951";"97.120575884823";"1001";"6001";"5000";"DBSCAN";"3";"";""
"4";"4";"lr";"0.918578110121548";"0.907727272727272";"96.6406718656269";"1501";"6501";"5000";"DBSCAN";"3";"";""
"5";"5";"lr";"0.938400348697832";"0.923771929824561";"96.5206958608278";"2001";"7001";"5000";"DBSCAN";"3";"";""
"6";"6";"lr";"0.967854418655334";"0.951842105263158";"96.880623875225";"2501";"7501";"5000";"DBSCAN";"2";"";""
"7";"7";"lr";"0.956003878910532";"0.939406779661015";"96.6406718656269";"3001";"8001";"5000";"DBSCAN";"3";"";""
"8";"8";"lr";"0.903519638912897";"0.88823076923077";"72.2855428914217";"3501";"8501";"5000";"DBSCAN";"3";"";""
"9";"9";"lr";"0.872650084242263";"0.859285714285715";"40.1319736052789";"4001";"9001";"5000";"DBSCAN";"3";"";""
"10";"10";"lr";"0.758513533786245";"0.749137931034483";"53.869226154769";"4501";"9501";"5000";"DBSCAN";"3";"";""
"11";"11";"lr";"0.968173655600854";"0.95343137254902";"96.9406118776245";"5001";"10001";"5000";"DBSCAN";"3";"";""
"12";"12";"lr";"0.968440594059406";"0.954019607843137";"97.3005398920216";"5501";"10501";"5000";"DBSCAN";"4";"";""
"13";"13";"lr";"0.888101888800213";"0.874642857142857";"89.4421115776845";"6001";"11001";"5000";"DBSCAN";"6";"";""
"14";"14";"lr";"0.941735074626866";"0.923358208955224";"96.1007798440312";"6501";"11501";"5000";"DBSCAN";"3";"";""
"15";"15";"lr";"0.913322360458924";"0.893717948717947";"95.4409118176365";"7001";"12001";"5000";"DBSCAN";"3";"";""
"16";"16";"lr";"0.900247705332451";"0.882567567567566";"17.876424715057";"7501";"12501";"5000";"DBSCAN";"5";"";""
"17";"17";"lr";"0.788190298507463";"0.77679104477612";"38.3323335332933";"8001";"13001";"5000";"DBSCAN";"4";"";""
"18";"18";"lr";"0.91220033592915";"0.894054054054053";"95.4409118176365";"8501";"13501";"5000";"DBSCAN";"4";"";""
"19";"19";"lr";"0.89787632729544";"0.881818181818183";"93.4613077384523";"9001";"14001";"5000";"DBSCAN";"4";"";""
"20";"20";"lr";"0.928004179728318";"0.909583333333333";"96.2207558488302";"9501";"14501";"5000";"DBSCAN";"4";"";""
"21";"21";"lr";"0.951650882590536";"0.932123287671235";"96.2207558488302";"10001";"15001";"5000";"DBSCAN";"4";"";""
"22";"22";"lr";"0.95304771856496";"0.932777777777776";"96.4607078584283";"10501";"15501";"5000";"DBSCAN";"5";"";""
"23";"23";"lr";"0.94501675041876";"0.925000000000001";"96.1607678464307";"11001";"16001";"5000";"DBSCAN";"4";"";""
"24";"24";"lr";"0.954710144927536";"0.932375";"95.1409718056389";"11501";"16501";"5000";"DBSCAN";"3";"";""
"25";"25";"lr";"0.95387749163393";"0.930172413793104";"94.9010197960408";"12001";"17001";"5000";"DBSCAN";"3";"";""
"26";"26";"lr";"0.952673899170389";"0.9255";"94.5410917816437";"12501";"17501";"5000";"DBSCAN";"2";"";""
"27";"27";"lr";"0.956370884393917";"0.927884615384616";"94.7810437912417";"13001";"18001";"5000";"DBSCAN";"2";"";""
"28";"28";"lr";"0.923323380799265";"0.894732142857142";"93.7612477504499";"13501";"18501";"5000";"DBSCAN";"3";"";""
"29";"29";"lr";"0.888383999151149";"0.859590163934426";"92.9214157168566";"14001";"19001";"5000";"DBSCAN";"4";"";""
"30";"30";"lr";"0.916434705359787";"0.883333333333334";"92.381523695261";"14501";"19501";"5000";"DBSCAN";"4";"";""
"31";"31";"lr";"0.94108742558263";"0.911052631578947";"93.8212357528494";"15001";"20001";"5000";"DBSCAN";"4";"";""
"32";"32";"lr";"0.955306609577243";"0.926730769230769";"94.7210557888422";"15501";"20501";"5000";"DBSCAN";"4";"";""
"33";"33";"lr";"0.934960737453056";"0.908267326732673";"94.121175764847";"16001";"21001";"5000";"DBSCAN";"4";"";""
"34";"34";"lr";"0.94193363114231";"0.9152";"93.1013797240552";"16501";"21501";"5000";"DBSCAN";"4";"";""
"35";"35";"lr";"0.932845229496356";"0.907371134020619";"94.5410917816437";"17001";"22001";"5000";"DBSCAN";"4";"";""
"36";"36";"lr";"0.947752712780035";"0.925864197530863";"95.500899820036";"17501";"22501";"5000";"DBSCAN";"4";"";""
"37";"37";"lr";"0.952524931041799";"0.926145833333333";"94.6610677864427";"18001";"23001";"5000";"DBSCAN";"4";"";""
"38";"38";"lr";"0.920797770894483";"0.897234042553191";"93.3413317336533";"18501";"23501";"5000";"DBSCAN";"3";"";""
"39";"39";"lr";"0.935760575699746";"0.901412213740458";"93.7012597480504";"19001";"24001";"5000";"DBSCAN";"2";"";""
"40";"40";"lr";"0.856196554193521";"0.829959349593496";"92.7414517096581";"19501";"24501";"5000";"DBSCAN";"5";"";""
"41";"41";"lr";"0.875449087061371";"0.851826923076923";"95.0809838032393";"20001";"25001";"5000";"DBSCAN";"5";"";""
"42";"42";"lr";"0.785170413343002";"0.769285714285714";"23.0353929214157";"20501";"25501";"5000";"DBSCAN";"5";"";""
"43";"43";"lr";"0.704216153039652";"0.69486301369863";"37.0725854829034";"21001";"26001";"5000";"DBSCAN";"5";"";""
"44";"44";"lr";"0.748027551659361";"0.736714285714286";"95.9208158368326";"21501";"26501";"5000";"DBSCAN";"5";"";""
"45";"45";"lr";"0.52112676056338";"0.526830985915493";"95.7408518296341";"22001";"27001";"5000";"DBSCAN";"5";"";""
"46";"46";"lr";"0.268797804635955";"0.314636363636363";"10.4379124175165";"22501";"27501";"5000";"DBSCAN";"5";"";""
"47";"47";"lr";"0.863653101465802";"0.840000000000001";"93.4013197360528";"23001";"28001";"5000";"DBSCAN";"5";"";""
"48";"48";"lr";"0.788772875127256";"0.771116504854368";"93.5812837432513";"23501";"28501";"5000";"DBSCAN";"5";"";""
"49";"49";"lr";"0.715419094576423";"0.700478260869565";"93.1613677264547";"24001";"29001";"5000";"DBSCAN";"4";"";""
"50";"50";"lr";"0.911476876285893";"0.894";"96.0407918416317";"24501";"29501";"5000";"DBSCAN";"4";"";""
"51";"51";"lr";"0.89422585205908";"0.874166666666667";"95.0809838032393";"25001";"30001";"5000";"DBSCAN";"4";"";""
"52";"52";"lr";"0.905509288917361";"0.879811320754717";"93.7612477504499";"25501";"30501";"5000";"DBSCAN";"4";"";""
"53";"53";"lr";"0.682501251166628";"0.66563829787234";"94.3611277744451";"26001";"31001";"5000";"DBSCAN";"5";"";""
"54";"54";"lr";"0.771479421579533";"0.735967741935484";"76.6646670665867";"26501";"31501";"5000";"DBSCAN";"6";"";""
"55";"55";"lr";"0.75227895392279";"0.713116438356164";"83.3833233353329";"27001";"32001";"5000";"DBSCAN";"7";"";""
"56";"56";"lr";"0.756950556435682";"0.710819397993311";"82.4235152969406";"27501";"32501";"5000";"DBSCAN";"7";"";""
"57";"57";"lr";"0.793637085566806";"0.757125603864734";"69.5860827834433";"28001";"33001";"5000";"DBSCAN";"5";"";""
"58";"58";"lr";"0.644651972500074";"0.624071729957806";"36.3527294541092";"28501";"33501";"5000";"DBSCAN";"5";"";""
"59";"59";"lr";"0.774266736095006";"0.717312138728324";"80.0839832033593";"29001";"34001";"5000";"DBSCAN";"5";"";""
"60";"60";"lr";"0.71932576247741";"0.674762611275965";"80.6838632273545";"29501";"34501";"5000";"DBSCAN";"6";"";""
"61";"61";"lr";"0.650173901963653";"0.621996805111821";"82.0635872825435";"30001";"35001";"5000";"DBSCAN";"4";"";""
"62";"62";"lr";"0.870538909908989";"0.842165354330709";"93.2213557288542";"30501";"35501";"5000";"DBSCAN";"4";"";""
"63";"1";"ksvm";"0.619967300224811";"0.6175";"97.8404319136173";"1";"5001";"5000";"DBSCAN";"3";"";""
"64";"2";"ksvm";"0.571341036414566";"0.569";"97.9004199160168";"501";"5501";"5000";"DBSCAN";"3";"";""
"65";"3";"ksvm";"0.844820512820513";"0.835952380952381";"97.4205158968206";"1001";"6001";"5000";"DBSCAN";"3";"";""
"66";"4";"ksvm";"0.597588640564611";"0.595";"97.3605278944211";"1501";"6501";"5000";"DBSCAN";"3";"";""
"67";"5";"ksvm";"0.780451127819549";"0.770614035087719";"96.5806838632274";"2001";"7001";"5000";"DBSCAN";"3";"";""
"68";"6";"ksvm";"0.766655769859431";"0.756929824561403";"96.5806838632274";"2501";"7501";"5000";"DBSCAN";"2";"";""
"69";"7";"ksvm";"0.803767181043933";"0.792796610169491";"96.4607078584283";"3001";"8001";"5000";"DBSCAN";"3";"";""
"70";"8";"ksvm";"0.547373475463363";"0.545461538461538";"96.1007798440312";"3501";"8501";"5000";"DBSCAN";"3";"";""
"71";"9";"ksvm";"0.594451095149419";"0.591428571428572";"96.6406718656269";"4001";"9001";"5000";"DBSCAN";"3";"";""
"72";"10";"ksvm";"0.543612438653265";"0.541896551724138";"96.5206958608278";"4501";"9501";"5000";"DBSCAN";"3";"";""
"73";"11";"ksvm";"0.816892350999806";"0.80735294117647";"96.9406118776245";"5001";"10001";"5000";"DBSCAN";"3";"";""
"74";"12";"ksvm";"0.52367258784702";"0.522647058823529";"96.9406118776245";"5501";"10501";"5000";"DBSCAN";"4";"";""
"75";"13";"ksvm";"0.808825485501463";"0.798571428571429";"96.7606478704259";"6001";"11001";"5000";"DBSCAN";"6";"";""
