"Itteration";"Model";"AUC";"ALIFT";"ACC";"Lower";"Upper";"Window-size";"Clustering";"Amount of Clusters";"Silhouette";"% Ommited"
"1";"1";"lr";"0.96632945023503";"0.955833333333333";"97.8404319136173";"1";"5001";"5000";"DBSCAN";"12";"";"0.0561315748779075"
"2";"2";"lr";"0.95656512605042";"0.946714285714286";"97.6604679064187";"501";"5501";"5000";"DBSCAN";"11";"";"0.0558989303152965"
"3";"3";"lr";"0.935399267399267";"0.923571428571427";"97.4205158968206";"1001";"6001";"5000";"DBSCAN";"10";"";"0.0559568060884163"
"4";"4";"lr";"0.919159244944827";"0.907954545454545";"97.000599880024";"1501";"6501";"5000";"DBSCAN";"11";"";"0.0546409982004872"
"5";"5";"lr";"0.94028549634957";"0.924473684210526";"96.7606478704259";"2001";"7001";"5000";"DBSCAN";"13";"";"0.0543990054092622"
"6";"6";"lr";"0.966198103955541";"0.949736842105263";"96.8206358728254";"2501";"7501";"5000";"DBSCAN";"28";"";"0.053320926686401"
"7";"7";"lr";"0.955255502150266";"0.938559322033897";"96.6406718656269";"3001";"8001";"5000";"DBSCAN";"11";"";"0.0550819471221732"
"8";"8";"lr";"0.903817343704984";"0.888076923076924";"72.0455908818236";"3501";"8501";"5000";"DBSCAN";"7";"";"0.058380608913869"
"9";"9";"lr";"0.849527799946794";"0.837678571428572";"35.0329934013197";"4001";"9001";"5000";"DBSCAN";"6";"";"0.0609425527235887"
"10";"10";"lr";"0.759070744304666";"0.75";"53.74925014997";"4501";"9501";"5000";"DBSCAN";"7";"";"0.0595821514094057"
"11";"11";"lr";"0.968100854203067";"0.95343137254902";"96.9406118776245";"5001";"10001";"5000";"DBSCAN";"5";"";"0.0618082353009195"
"12";"12";"lr";"0.968489128324597";"0.953627450980392";"97.3005398920216";"5501";"10501";"5000";"DBSCAN";"4";"";"0.0628484074694533"
"13";"13";"lr";"0.891770861044604";"0.878214285714285";"89.2021595680864";"6001";"11001";"5000";"DBSCAN";"4";"";"0.0632043528598925"
"14";"14";"lr";"0.942490671641791";"0.923955223880597";"96.0407918416317";"6501";"11501";"5000";"DBSCAN";"5";"";"0.062236992983496"
"15";"15";"lr";"0.913378838488971";"0.894102564102563";"95.4409118176365";"7001";"12001";"5000";"DBSCAN";"6";"";"0.0602559256024331"
"16";"16";"lr";"0.90350520011537";"0.885405405405404";"26.874625074985";"7501";"12501";"5000";"DBSCAN";"10";"";"0.0596063164714812"
"17";"17";"lr";"0.788367537313433";"0.77679104477612";"38.3323335332933";"8001";"13001";"5000";"DBSCAN";"9";"";"0.0617476857078126"
"18";"18";"lr";"0.893138901613478";"0.876216216216215";"95.5608878224355";"8501";"13501";"5000";"DBSCAN";"9";"";"0.0647143749999645"
"19";"19";"lr";"0.898179168322829";"0.882121212121213";"93.1013797240552";"9001";"14001";"5000";"DBSCAN";"8";"";"0.0622870169209036"
"20";"20";"lr";"0.928883664228492";"0.909999999999999";"96.2207558488302";"9501";"14501";"5000";"DBSCAN";"8";"";"0.0644626447225844"
"21";"21";"lr";"0.951547756140321";"0.931712328767125";"96.2207558488302";"10001";"15001";"5000";"DBSCAN";"7";"";"0.0661955503020151"
"22";"22";"lr";"0.952812608847092";"0.932499999999999";"96.3407318536293";"10501";"15501";"5000";"DBSCAN";"7";"";"0.06790469697972"
"23";"23";"lr";"0.948291457286432";"0.928066666666667";"96.2807438512298";"11001";"16001";"5000";"DBSCAN";"9";"";"0.0650181733807561"
"24";"24";"lr";"0.9515595463138";"0.93";"94.9010197960408";"11501";"16501";"5000";"DBSCAN";"19";"";"0.061434102957871"
"25";"25";"lr";"0.953644696639022";"0.929942528735632";"95.0209958008398";"12001";"17001";"5000";"DBSCAN";"20";"";"0.057864705346884"
"26";"26";"lr";"0.951952776005105";"0.924800000000001";"94.4211157768446";"12501";"17501";"5000";"DBSCAN";"14";"";"0.0610304418345166"
"27";"27";"lr";"0.956598503863379";"0.928173076923077";"94.7810437912417";"13001";"18001";"5000";"DBSCAN";"9";"";"0.0616780145795574"
"28";"28";"lr";"0.920079237482774";"0.891696428571428";"93.7012597480504";"13501";"18501";"5000";"DBSCAN";"11";"";"0.060442016838584"
"29";"29";"lr";"0.88912143880312";"0.860655737704918";"92.9814037192561";"14001";"19001";"5000";"DBSCAN";"12";"";"0.0622445416042967"
"30";"30";"lr";"0.915921429276478";"0.883030303030304";"92.50149970006";"14501";"19501";"5000";"DBSCAN";"8";"";"0.0676959139909774"
