"Itteration";"Model";"AUC";"ALIFT";"ACC";"Lower";"Upper";"Window-size";"Clustering";"Amount of Clusters";"Silhouette";"% Ommited"
"1";"1";"lr";"0.932573744805504";"0.922777777777778";"97.7804439112177";"1";"5001";"5000";"OPTICS";"166";"";"0.0217222741487446"
"2";"2";"lr";"0.95875350140056";"0.949285714285714";"97.6604679064187";"501";"5501";"5000";"OPTICS";"163";"";"0.0217153169128422"
"3";"3";"lr";"0.934783882783883";"0.922857142857141";"97.4205158968206";"1001";"6001";"5000";"OPTICS";"162";"";"0.0216084402980614"
"4";"4";"lr";"0.920503556825183";"0.909090909090908";"96.9406118776245";"1501";"6501";"5000";"OPTICS";"161";"";"0.0212130716270751"
"5";"5";"lr";"0.943696197014275";"0.928684210526316";"96.7606478704259";"2001";"7001";"5000";"OPTICS";"163";"";"0.0209890698432927"
"6";"6";"lr";"0.967952489920453";"0.951842105263158";"96.880623875225";"2501";"7501";"5000";"OPTICS";"163";"";"0.0208128354457228"
"7";"7";"lr";"0.95544523146977";"0.938898305084744";"96.6406718656269";"3001";"8001";"5000";"OPTICS";"162";"";"0.0214766667007877"
"8";"8";"lr";"0.903404398348219";"0.887615384615385";"71.4457108578284";"3501";"8501";"5000";"OPTICS";"164";"";"0.0220408441443581"
"9";"9";"lr";"0.87472288729272";"0.861607142857143";"38.5722855428914";"4001";"9001";"5000";"OPTICS";"164";"";"0.0224866050323448"
"10";"10";"lr";"0.764910739161184";"0.756034482758621";"55.9088182363527";"4501";"9501";"5000";"OPTICS";"165";"";"0.0224941200413135"
"11";"11";"lr";"0.968392059794215";"0.953823529411765";"96.9406118776245";"5001";"10001";"5000";"OPTICS";"170";"";"0.0229929890413481"
"12";"12";"lr";"0.968246456998641";"0.953823529411765";"97.3605278944211";"5501";"10501";"5000";"OPTICS";"165";"";"0.0233465502930042"
"13";"13";"lr";"0.885840649108806";"0.872142857142856";"89.0221955608878";"6001";"11001";"5000";"OPTICS";"157";"";"0.0234674802247198"
"14";"14";"lr";"0.941296641791045";"0.923358208955224";"96.0407918416317";"6501";"11501";"5000";"OPTICS";"156";"";"0.023354318360738"
"15";"15";"lr";"0.913354633618951";"0.893717948717948";"95.500899820036";"7001";"12001";"5000";"OPTICS";"161";"";"0.0231487426111699"
"16";"16";"lr";"0.898797102186933";"0.881486486486485";"19.5560887822436";"7501";"12501";"5000";"OPTICS";"147";"";"0.0236316850163628"
"17";"17";"lr";"0.787210820895522";"0.77544776119403";"38.2723455308938";"8001";"13001";"5000";"OPTICS";"150";"";"0.0238838244352389"
"18";"18";"lr";"0.906728762660966";"0.888243243243242";"95.620875824835";"8501";"13501";"5000";"OPTICS";"163";"";"0.0236775722696327"
"19";"19";"lr";"0.901510419624099";"0.885909090909092";"93.7612477504499";"9001";"14001";"5000";"OPTICS";"161";"";"0.0234468494520492"
"20";"20";"lr";"0.929040404040404";"0.910416666666666";"96.1607678464307";"9501";"14501";"5000";"OPTICS";"152";"";"0.0240453655253962"
"21";"21";"lr";"0.951779790653306";"0.932123287671235";"96.1007798440312";"10001";"15001";"5000";"OPTICS";"142";"";"0.0243481070932683"
"22";"22";"lr";"0.952838732149077";"0.932222222222221";"96.4007198560288";"10501";"15501";"5000";"OPTICS";"145";"";"0.0241970763128097"
"23";"23";"lr";"0.947973199329983";"0.927800000000001";"96.3407318536293";"11001";"16001";"5000";"OPTICS";"145";"";"0.0236271506780181"
"24";"24";"lr";"0.954851921865154";"0.932625";"95.1409718056389";"11501";"16501";"5000";"OPTICS";"137";"";"0.0231828854622377"
"25";"25";"lr";"0.953819292885203";"0.930402298850575";"95.0209958008398";"12001";"17001";"5000";"OPTICS";"141";"";"0.0223525038207599"
"26";"26";"lr";"0.952074026802808";"0.9248";"94.4211157768446";"12501";"17501";"5000";"OPTICS";"151";"";"0.0232480668106031"
"27";"27";"lr";"0.956217087455091";"0.927500000000001";"94.7810437912417";"13001";"18001";"5000";"OPTICS";"149";"";"0.0236464891374063"
"28";"28";"lr";"0.920940514469453";"0.892410714285714";"93.6412717456509";"13501";"18501";"5000";"OPTICS";"132";"";"0.0234072748301648"
"29";"29";"lr";"0.890665287283145";"0.861721311475409";"93.1013797240552";"14001";"19001";"5000";"OPTICS";"137";"";"0.0240846432014808"
"30";"30";"lr";"0.914988648702004";"0.882121212121213";"92.4415116976605";"14501";"19501";"5000";"OPTICS";"152";"";"0.0247520500633292"
"31";"31";"lr";"0.940703335931587";"0.910263157894737";"93.7612477504499";"15001";"20001";"5000";"OPTICS";"159";"";"0.0242520057678128"
"32";"32";"lr";"0.95469142182194";"0.926730769230769";"94.7210557888422";"15501";"20501";"5000";"OPTICS";"161";"";"0.0237722741861572"
"33";"33";"lr";"0.9347647408419";"0.908366336633663";"94.0611877624475";"16001";"21001";"5000";"OPTICS";"166";"";"0.0238234398935244"
"34";"34";"lr";"0.941678366305041";"0.9149";"94.1811637672465";"16501";"21501";"5000";"OPTICS";"158";"";"0.0237259437388668"
"35";"35";"lr";"0.931124827631493";"0.906030927835052";"94.4811037792442";"17001";"22001";"5000";"OPTICS";"172";"";"0.0228334281453406"
"36";"36";"lr";"0.947379073062133";"0.92574074074074";"95.8008398320336";"17501";"22501";"5000";"OPTICS";"171";"";"0.0215308417497593"
"37";"37";"lr";"0.957637120729896";"0.931666666666667";"95.3209358128374";"18001";"23001";"5000";"OPTICS";"193";"";"0.020277089534512"
"38";"38";"lr";"0.92805453733887";"0.904255319148936";"93.881223755249";"18501";"23501";"5000";"OPTICS";"187";"";"0.0171083709552785"
"39";"39";"lr";"0.941888319020356";"0.906908396946565";"93.881223755249";"19001";"24001";"5000";"OPTICS";"141";"";"0.0126999270400441"
"40";"40";"lr";"0.902402165213362";"0.872886178861788";"92.9814037192561";"19501";"24501";"5000";"OPTICS";"140";"";"0.013619452093465"
"41";"41";"lr";"0.851924307298587";"0.829807692307692";"94.9010197960408";"20001";"25001";"5000";"OPTICS";"151";"";"0.0168203775464071"
"42";"42";"lr";"0.836385061638869";"0.818186813186813";"34.3131373725255";"20501";"25501";"5000";"OPTICS";"164";"";"0.0203572021178496"
"43";"43";"lr";"0.721283580550351";"0.711575342465753";"65.3869226154769";"21001";"26001";"5000";"OPTICS";"173";"";"0.0210322817348433"
"44";"44";"lr";"0.727480096609715";"0.718";"94.9610077984403";"21501";"26501";"5000";"OPTICS";"173";"";"0.0216836912644799"
"45";"45";"lr";"0.748993963782696";"0.738521126760564";"95.620875824835";"22001";"27001";"5000";"OPTICS";"172";"";"0.0219959247043463"
"46";"46";"lr";"0.259000408711391";"0.303272727272727";"10.497900419916";"22501";"27501";"5000";"OPTICS";"175";"";"0.0226713554031303"
"47";"47";"lr";"0.863356139975768";"0.839907407407408";"93.4013197360528";"23001";"28001";"5000";"OPTICS";"177";"";"0.0221410357186101"
"48";"48";"lr";"0.788394209520026";"0.770145631067961";"93.6412717456509";"23501";"28501";"5000";"OPTICS";"157";"";"0.0231093032302566"
"49";"49";"lr";"0.723778574630211";"0.708826086956522";"93.1013797240552";"24001";"29001";"5000";"OPTICS";"146";"";"0.0232847663319427"
"50";"50";"lr";"0.909786206279631";"0.892571428571428";"96.0407918416317";"24501";"29501";"5000";"OPTICS";"140";"";"0.0240541984812322"
"51";"51";"lr";"0.893263243389586";"0.873452380952382";"95.1409718056389";"25001";"30001";"5000";"OPTICS";"142";"";"0.0240847988513772"
"52";"52";"lr";"0.904076970495449";"0.878584905660378";"93.7612477504499";"25501";"30501";"5000";"OPTICS";"148";"";"0.0240310781516191"
"53";"53";"lr";"0.801855784447661";"0.784148936170213";"94.3611277744451";"26001";"31001";"5000";"OPTICS";"139";"";"0.0249809384417613"
"54";"54";"lr";"0.859694899094232";"0.812834101382489";"86.7426514697061";"26501";"31501";"5000";"OPTICS";"139";"";"0.0251738349700704"
"55";"55";"lr";"0.749048567870486";"0.710719178082192";"83.2633473305339";"27001";"32001";"5000";"OPTICS";"138";"";"0.0250974646621653"
"56";"56";"lr";"0.761505212306128";"0.714966555183947";"82.003599280144";"27501";"32501";"5000";"OPTICS";"145";"";"0.0250702257656357"
"57";"57";"lr";"0.793848851829793";"0.75707729468599";"69.8260347930414";"28001";"33001";"5000";"OPTICS";"129";"";"0.0252189705501127"
"58";"58";"lr";"0.643276976188369";"0.622848101265823";"35.5128974205159";"28501";"33501";"5000";"OPTICS";"142";"";"0.0249553521069136"
"59";"59";"lr";"0.775345354937799";"0.717976878612717";"80.0839832033593";"29001";"34001";"5000";"OPTICS";"141";"";"0.0247646710275983"
"60";"60";"lr";"0.71486356841659";"0.671320474777448";"80.8038392321536";"29501";"34501";"5000";"OPTICS";"137";"";"0.0253277136471642"
"61";"61";"lr";"0.648246114931029";"0.620367412140575";"82.1835632873425";"30001";"35001";"5000";"OPTICS";"146";"";"0.0245201133981219"
"62";"62";"lr";"0.871510379384395";"0.843031496062992";"93.2213557288542";"30501";"35501";"5000";"OPTICS";"141";"";"0.0256135720919491"
"63";"1";"ksvm";"0.634222358471285";"0.631111111111111";"97.8404319136173";"1";"5001";"5000";"OPTICS";"166";"";"0.0217222741487446"
