"Itteration";"Model";"AUC";"ALIFT";"ACC";"Lower";"Upper";"Window-size";"Clustering";"Amount of Clusters";"Silhouette";"% Ommited"
"1";"1";"lr";"0.915912920102864";"0.901964285714285";"96.5206958608278";"1";"5001";"5000";"yes";"6";"-0.0164354807536413";"47.1505698860228"
"2";"2";"lr";"0.941713388652164";"0.928461538461538";"97.2269383135257";"501";"5501";"5000";"yes";"2";"0.0458963650119672";"39.372125574885"
"3";"3";"lr";"0.929355533736977";"0.919047619047618";"97.3713646532439";"1001";"6001";"5000";"yes";"2";"0.0541046767031492";"33.6932613477305"
"4";"4";"lr";"0.889498240847768";"0.876639344262296";"97.0059880239521";"1501";"6501";"5000";"yes";"2";"0.0643698246637673";"37.6124775044991"
"5";"5";"lr";"0.918216315203232";"0.908469387755102";"97.5576662143826";"2001";"7001";"5000";"yes";"2";"0.067639562689102";"21.2557488502299"
"6";"6";"lr";"0.947392290249433";"0.936929824561402";"97.4358974358974";"2501";"7501";"5000";"yes";"4";"0.0578497823474617";"31.373725254949"
"7";"7";"lr";"0.926020740226494";"0.916403508771931";"97.7849375755135";"3001";"8001";"5000";"yes";"2";"0.137084082856";"16.2767446510698"
"8";"8";"lr";"0.93986475965923";"0.928880597014926";"97.6735732460923";"3501";"8501";"5000";"yes";"2";"0.18191511605549";"13.6172765446911"
"9";"9";"lr";"0.950124861265261";"0.938529411764707";"97.1671388101983";"4001";"9001";"5000";"yes";"3";"0.217945540606827";"10.5378924215157"
"10";"10";"lr";"0.955675649824243";"0.944436619718308";"97.7122015915119";"4501";"9501";"5000";"yes";"2";"0.371581595639742";"9.81803639272145"
"11";"11";"lr";"0.944745517967275";"0.934324324324324";"97.642250864508";"5001";"10001";"5000";"yes";"3";"0.344400076592782";"9.1381723655269"
"12";"12";"lr";"0.912190082644628";"0.901883116883117";"97.1977842945585";"5501";"10501";"5000";"yes";"2";"0.282878272020052";"15.876824635073"
"13";"13";"lr";"0.953788040092424";"0.940813953488373";"97.2322899505766";"6001";"11001";"5000";"yes";"3";"0.243436745615155";"17.9164167166567"
"14";"14";"lr";"0.948368866328257";"0.933900000000001";"96.7266775777414";"6501";"11501";"5000";"yes";"2";"0.224052617311947";"16.7166566686663"
"15";"15";"lr";"0.957440100882724";"0.942403846153847";"96.8273716951789";"7001";"12001";"5000";"yes";"3";"0.233326810214317";"7.11857628474305"
"16";"16";"lr";"0.959109567413956";"0.945625";"97.0885688017162";"7501";"12501";"5000";"yes";"4";"0.225946495132778";"4.21915616876625"
"17";"17";"lr";"0.955196169443494";"0.941391752577318";"97.2103004291845";"8001";"13001";"5000";"yes";"3";"0.228145604395909";"4.27914417116577"
"18";"18";"lr";"0.956133957064114";"0.943000000000002";"97.2733037412809";"8501";"13501";"5000";"yes";"2";"0.254094174358071";"10.7978404319136"
"19";"19";"lr";"0.945005412503771";"0.929594594594594";"97.5961538461538";"9001";"14001";"5000";"yes";"2";"0.30841036945461";"12.8374325134973"
"20";"20";"lr";"0.952565459391659";"0.941499999999999";"97.308045273784";"9501";"14501";"5000";"yes";"2";"0.277841787185732";"3.85922815436912"
"21";"21";"lr";"0.968254933133826";"0.957027027027027";"97.5033738191633";"10001";"15001";"5000";"yes";"3";"0.217066034984172";"22.1955608878224"
"22";"22";"lr";"0.95427458617332";"0.9404";"96.7934611757309";"10501";"15501";"5000";"yes";"2";"0.19268631993809";"9.17816436712657"
"23";"23";"lr";"0.954989995998399";"0.942176470588235";"97.4545454545455";"11001";"16001";"5000";"yes";"3";"0.177185497045525";"18.5362927414517"
"24";"24";"lr";"0.961818070476257";"0.948292682926829";"97.3170731707317";"11501";"16501";"5000";"yes";"5";"0.0833412656015058";"27.8344331133773"
"25";"25";"lr";"0.963174583076136";"0.951231884057971";"97.6207386363636";"12001";"17001";"5000";"yes";"2";"0.0703902473710246";"31.0337932413517"
"26";"26";"lr";"0.971917686050515";"0.957183908045977";"96.850944716585";"12501";"17501";"5000";"yes";"2";"0.056244860762904";"28.5542891421716"
"27";"27";"lr";"0.752333426608214";"0.744718309859156";"15.2825342465753";"13001";"18001";"5000";"yes";"5";"-0.053103101823593";"59.8280343931214"
"28";"28";"lr";"0.5";"0.493888888888889";"97.5009916699722";"13501";"18501";"5000";"yes";"2";"0.0305435194380884";"48.7702459508098"
"29";"29";"lr";"0.965129917424164";"0.952012987012987";"97.0244420828905";"14001";"19001";"5000";"yes";"3";"0.0650578445951276";"30.6338732253549"
"30";"30";"lr";"0.974153772932192";"0.962272727272727";"97.7513227513228";"14501";"19501";"5000";"yes";"2";"0.142429356343479";"18.5762847430514"
"31";"31";"lr";"0.952873124528054";"0.941153846153848";"97.4078700811992";"15001";"20001";"5000";"yes";"2";"0.16996713935904";"7.91841631673665"
"32";"32";"lr";"0.946529781763698";"0.933279569892472";"97.1612903225806";"15501";"20501";"5000";"yes";"4";"0.169634355597411";"14.0171965606879"
"33";"33";"lr";"0.948109981305002";"0.934340659340659";"97.049949715052";"16001";"21001";"5000";"yes";"3";"0.227594563843196";"21.0157968406319"
"34";"34";"lr";"0.938500940566373";"0.923942307692308";"96.964856230032";"16501";"21501";"5000";"yes";"2";"0.282434307243856";"12.2375524895021"
"35";"35";"lr";"0.954226184286403";"0.939368932038835";"96.8278894472362";"17001";"22001";"5000";"yes";"2";"0.327429476326917";"8.97820435912817"
"36";"36";"lr";"0.946534308603274";"0.932474747474749";"96.8799243618027";"17501";"22501";"5000";"yes";"2";"0.359262905059616";"9.65806838632274"
"37";"37";"lr";"0.916098384308601";"0.904012345679012";"89.8643825838687";"18001";"23001";"5000";"yes";"3";"0.0807880367686648";"31.9136172765447"
"38";"38";"lr";"0.950740866417826";"0.938461538461538";"97.2231404958678";"18501";"23501";"5000";"yes";"2";"0.174521798224959";"18.496300739852"
"39";"39";"lr";"0.932599137747044";"0.919691358024691";"95.9388971684054";"19001";"24001";"5000";"yes";"3";"0.0790821829719687";"38.9522095580884"
"40";"40";"lr";"0.940412032259297";"0.929814814814815";"97.5838115372999";"19501";"24501";"5000";"yes";"2";"0.529842838444071";"1.33973205358928"
"41";"41";"lr";"0.885727936398731";"0.875740740740741";"94.654183026276";"20001";"25001";"5000";"yes";"2";"0.518286794400057";"1.33973205358928"
"42";"42";"lr";"0.938109161793372";"0.926358024691357";"97.5234068257324";"20501";"25501";"5000";"yes";"2";"0.503171427573857";"1.33973205358928"
"43";"43";"lr";"0.887933340977717";"0.875";"97.5536091815162";"21001";"26001";"5000";"yes";"2";"0.493332226108665";"1.33973205358928"
"44";"44";"lr";"0.940229173118613";"0.929268292682927";"96.8589549984899";"21501";"26501";"5000";"yes";"2";"0.479191384348971";"1.33973205358928"
"45";"45";"lr";"0.930990622217597";"0.916944444444444";"96.5871337964361";"22001";"27001";"5000";"yes";"2";"0.464641646486098";"1.33973205358928"
"46";"46";"lr";"0.943464233936359";"0.929311926605504";"96.8891573542736";"22501";"27501";"5000";"yes";"2";"0.446081672261643";"1.33973205358928"
"47";"47";"lr";"0.940117269014607";"0.926313131313132";"97.0506912442396";"23001";"28001";"5000";"yes";"3";"0.242968718160042";"4.69906018796241"
"48";"48";"lr";"0.941649946030422";"0.928723404255318";"97.1575446023586";"23501";"28501";"5000";"yes";"3";"0.34095124824518";"1.59968006398721"
"49";"49";"lr";"0.888100378178923";"0.878292682926829";"97.4908200734394";"24001";"29001";"5000";"yes";"2";"0.26253806826741";"3.91921615676865"
"50";"50";"lr";"0.913272949365046";"0.903271604938273";"97.6024279210926";"24501";"29501";"5000";"yes";"2";"0.371258753562952";"2.31953609278145"
"51";"51";"lr";"0.900505421048341";"0.889712643678162";"97.4774774774775";"25001";"30001";"5000";"yes";"3";"0.360295473891988";"0.199960007998401"
"52";"52";"lr";"0.849615610775965";"0.841301369863013";"97.7004350528278";"25501";"30501";"5000";"yes";"4";"0.324109102822035";"6.91861627674465"
"53";"53";"lr";"0.89365823752852";"0.881836734693879";"94.9504057709648";"26001";"31001";"5000";"yes";"3";"0.324584205305731";"0.41991601679664"
"54";"54";"lr";"0.888504531189393";"0.87788888888889";"97.1922246220302";"26501";"31501";"5000";"yes";"5";"0.281237024725735";"5.55888822235553"
"55";"55";"lr";"0.916275135950399";"0.903080808080809";"97.1296296296296";"27001";"32001";"5000";"yes";"2";"0.233732183689905";"5.63887222555489"
"56";"56";"lr";"0.890518254041856";"0.880731707317073";"97.467572575664";"27501";"32501";"5000";"yes";"2";"0.232244635392843";"5.75884823035393"
"57";"57";"lr";"0.923115053651962";"0.909257425742574";"96.9591384225531";"28001";"33001";"5000";"yes";"2";"0.279244504542066";"10.5978804239152"
"58";"58";"lr";"0.937591938481595";"0.922850467289719";"96.8996960486322";"28501";"33501";"5000";"yes";"2";"0.376775757960434";"2.61947610477904"
"59";"59";"lr";"0.900299850074962";"0.888043478260871";"97.1685971685972";"29001";"34001";"5000";"yes";"3";"0.209650126378313";"13.5572885422915"
"60";"60";"lr";"0.944376127986296";"0.930588235294117";"96.7644390686423";"29501";"34501";"5000";"yes";"2";"0.259174685967442";"1.61967606478705"
"61";"61";"lr";"0.958058226186339";"0.944381443298969";"97.1826719176007";"30001";"35001";"5000";"yes";"2";"0.243486294434459";"1.93961207758448"
