"Itteration";"Model";"AUC";"ALIFT";"ACC";"Lower";"Upper";"Window-size";"Clustering";"Amount of Clusters";"Silhouette";"% Ommited"
"1";"1";"lr";"0.947867702159548";"0.938055555555556";"97.8404319136173";"1";"5001";"5000";"Kmeans";"6";"";""
"2";"2";"lr";"0.946708683473389";"0.936714285714286";"97.3005398920216";"501";"5501";"5000";"Kmeans";"2";"";""
"3";"3";"lr";"0.935567765567766";"0.924047619047618";"97.4805038992202";"1001";"6001";"5000";"Kmeans";"2";"";""
"4";"4";"lr";"0.921434772867305";"0.910227272727272";"97.000599880024";"1501";"6501";"5000";"Kmeans";"2";"";""
"5";"5";"lr";"0.941407867494824";"0.926228070175439";"96.8206358728254";"2001";"7001";"5000";"Kmeans";"2";"";""
"6";"6";"lr";"0.967592895281682";"0.951842105263158";"96.880623875225";"2501";"7501";"5000";"Kmeans";"4";"";""
"7";"7";"lr";"0.95545577198752";"0.939067796610168";"96.6406718656269";"3001";"8001";"5000";"Kmeans";"2";"";""
"8";"8";"lr";"0.903596465956017";"0.887769230769231";"71.9856028794241";"3501";"8501";"5000";"Kmeans";"2";"";""
"9";"9";"lr";"0.872694422275428";"0.860000000000001";"37.372525494901";"4001";"9001";"5000";"Kmeans";"3";"";""
"10";"10";"lr";"0.759467221019695";"0.750689655172414";"53.6892621475705";"4501";"9501";"5000";"Kmeans";"2";"";""
"11";"11";"lr";"0.969144340904679";"0.955196078431373";"97.000599880024";"5001";"10001";"5000";"Kmeans";"3";"";""
"12";"12";"lr";"0.968137254901961";"0.95343137254902";"97.3005398920216";"5501";"10501";"5000";"Kmeans";"2";"";""
"13";"13";"lr";"0.883546155892525";"0.870714285714285";"88.2423515296941";"6001";"11001";"5000";"Kmeans";"3";"";""
"14";"14";"lr";"0.942005597014925";"0.923805970149254";"96.1007798440312";"6501";"11501";"5000";"Kmeans";"2";"";""
"15";"15";"lr";"0.610410514595537";"0.588717948717949";"53.9292141571686";"7001";"12001";"5000";"Kmeans";"3";"";""
"16";"16";"lr";"0.871244125481414";"0.85527027027027";"24.2951409718056";"7501";"12501";"5000";"Kmeans";"4";"";""
"17";"17";"lr";"0.786436567164179";"0.774701492537314";"38.3923215356929";"8001";"13001";"5000";"Kmeans";"3";"";""
"18";"18";"lr";"0.910698834427648";"0.892702702702702";"95.500899820036";"8501";"13501";"5000";"Kmeans";"2";"";""
"19";"19";"lr";"0.898340052618628";"0.882575757575759";"93.5212957408518";"9001";"14001";"5000";"Kmeans";"2";"";""
"20";"20";"lr";"0.928927203065134";"0.910416666666666";"96.2207558488302";"9501";"14501";"5000";"Kmeans";"2";"";""
"21";"21";"lr";"0.951659476461388";"0.931712328767125";"96.1607678464307";"10001";"15001";"5000";"Kmeans";"3";"";""
"22";"22";"lr";"0.952951933124347";"0.932777777777776";"96.4007198560288";"10501";"15501";"5000";"Kmeans";"2";"";""
